Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
Banana chips,62107200,6016,Dried fruits,519,2.3,58.4,35.34,7.7,33.6,28.97,1.95,0.63,0,0,4,32,34,0,0,46,0.085,0.017,0.71,0.26,0,14,14,14,21.3,0,0,6.3,0,0.24,0,1.3,18,56,76,1.25,0.75,0.205,1.5,536,6,0,0,0,0,0.2,2.51,2.01,14.91,5.62,2.79,0.94,0,1.95,0,0,0.62,0.01,0,0,0,0,0,4.3
Banana nectar,64201500,7204,Fruit drinks,74,0.26,18.01,15.51,0.6,0.13,0.039,0.011,0.026,0,0,0,2,3,0,0,8,0.02,0.002,0.232,0.073,0,5,5,5,3.4,0,0,4.3,0,0.04,0,0,4,8,10,0,0.06,0.041,0.1,115,2,0,0,0,0,0,0,0,0.001,0.001,0.036,0.002,0.004,0.008,0,0,0.016,0.009,0,0,0,0,0,81.3
Banana pudding,13241000,5804,Pudding,160,2.57,28,19.74,0.7,4.26,1.22,1.999,0.617,38,20,20,2,3,1,0,48,0.061,0.107,0.544,0.081,5,10,19,15,30,0.18,0,3.2,0.3,0.26,0,1,41,57,13,0.42,0.28,0.046,3.8,149,128,0,0,0,0.006,0.005,0.002,0.005,0.006,0.03,0.708,0.447,0.029,1.966,0.003,0,0.554,0.033,0,0.002,0.001,0,0.001,64.52
Banana split,13121120,5802,Ice cream and frozen dairy desserts,199,2.42,32.59,24.17,1,6.88,4.07,1.919,0.296,24,65,66,2,12,0,0,6,0.038,0.131,0.254,0.078,0,7,7,7,17.2,0.21,0,4.5,0.1,0.42,0,0.5,74,69,18,0.17,0.45,0.067,1.3,212,97,1,20,0,0.19,0.115,0.068,0.159,0.178,0.639,1.851,0.769,0.121,1.821,0.002,0,0.183,0.098,0,0.002,0.002,0,0,57.22
"Banana, baked",63107410,6004,Bananas,161,0.82,32.43,24.74,1.8,3.21,1.728,0.63,0.166,8,26,28,6,13,0,0,20,0.048,0,0.64,0.214,0,9,9,9,11.2,0,0,10.4,0,0.11,0,0.4,13,24,30,0.06,0.17,0.1,0.1,322,3,0,0,0,0.072,0.051,0.03,0.069,0.08,0.254,0.856,0.267,0.046,0.553,0.004,0,0.128,0.04,0.001,0.004,0.001,0.001,0,62.75
"Banana, raw",63107010,6004,Bananas,97,0.74,22.71,15.8,1.7,0.28,0.112,0.032,0.073,0,0,1,7,8,0,0,22,0.054,0,0.653,0.212,0,15,15,15,9.8,0,0,12,0,0.1,0,0.1,5,22,28,0,0.16,0.101,0,326,0,0,0,0,0,0,0,0.001,0.002,0.002,0.102,0.005,0.01,0.022,0,0,0.046,0.027,0,0,0,0,0,75.6
Bao bun,58123110,3406,"Egg rolls, dumplings, sushi",273,11.17,39.78,5.86,1.2,7.58,2.323,3.108,1.324,21,0,0,0,0,0,0,7,0.543,0.246,3.905,0.157,40,7,75,47,28.4,0.17,0,0.2,0.2,0.33,0,1.4,140,152,20,2.86,0.9,0.085,14.6,162,354,0,0,0,0,0,0,0.005,0.009,0.069,1.462,0.741,0.161,2.87,0.061,0,1.203,0.102,0,0.009,0,0,0,39.29
"Bao bun, no meat",58123120,3406,"Egg rolls, dumplings, sushi",268,6.73,54.27,22.28,3.4,2.94,0.949,1.047,0.484,2,0,0,0,0,0,0,5,0.261,0.138,1.928,0.052,28,37,84,65,16.5,0,0,0.3,0.1,0.04,0,3.5,107,118,23,2.63,0.58,0.114,5.2,174,268,0,0,0,0,0,0,0.002,0.004,0.029,0.601,0.306,0.06,0.96,0.022,0,0.385,0.099,0,0,0,0,0,34.16
"Barbecue beef, no sauce",27116210,2002,"Beef, excludes ground",252,27.97,0,0,0,15.15,5.892,7.001,0.573,95,4,4,0,0,0,0,0,0.067,0.215,3.607,0.29,0,7,7,7,97.4,2.78,0,0,0.1,0.11,0,1.6,10,205,21,2.72,7.94,0.102,27.4,271,411,0,0,0,0,0,0,0,0,0.436,3.347,1.977,0.525,6.309,0.03,0,0.487,0.029,0,0.05,0.003,0.01,0.001,54.62
Barbecue chicken,27146011,3004,Poultry mixed dishes,167,19,12.23,9.97,0.3,4.64,1.119,1.919,0.686,79,6,9,0,40,1,1365,26,0.056,0.144,5.498,0.195,0,6,6,7,48.6,0.26,0,0.2,0,0.53,0,0.5,20,172,20,0.7,1.18,0.066,17.2,265,550,0,0,0,0.001,0,0,0,0,0.023,0.892,0.195,0.318,1.573,0.016,0.007,0.625,0.042,0,0.015,0,0,0,62.62
"Barbecue meat, NFS",27100100,3002,Meat mixed dishes,226,18.14,12.23,9.97,0.3,11.17,4.02,4.934,1.394,65,2,6,0,40,1,1365,26,0.263,0.233,3.198,0.28,0,3,3,3,72.7,0.92,0,0.2,0.6,0.36,0,0.8,23,158,19,1.36,3.51,0.101,23.9,289,601,0,0,0,0.001,0,0,0.007,0.006,0.18,2.42,1.336,0.276,4.554,0.068,0.007,1.218,0.061,0,0.059,0,0.006,0.001,55.89
"Barbecue pork, no sauce",27120040,2006,Pork,249,24.75,0,0,0,15.87,5.668,7.017,2.406,91,3,3,0,0,0,0,0,0.466,0.34,4.549,0.393,0,2,2,2,101.9,0.83,0,0,1.1,0.19,0,0,21,222,22,1.32,3.94,0.117,35.6,328,422,0,0,0,0,0,0,0.013,0.012,0.197,3.48,1.882,0.352,6.547,0.113,0,2.111,0.094,0,0.096,0,0.008,0.001,56.98
Barbecue sauce,74406010,8402,Tomato-based condiments,172,0.82,40.77,33.24,0.9,0.63,0.045,0.082,0.101,0,0,11,0,133,2,4550,88,0.023,0.056,0.597,0.075,0,2,2,2,7.1,0,0,0.6,0,0.8,0,1.8,33,20,13,0.64,0.17,0.072,1.3,232,1027,0,0,0,0.002,0,0,0,0,0.002,0.025,0.008,0,0.045,0.012,0.023,0.08,0.021,0,0,0,0,0,54.71
Barley,56200410,4004,"Pasta, noodles, cooked grains",139,2.2,27.23,0.28,3.7,2.74,1.088,0.664,0.572,4,23,24,0,15,0,0,54,0.08,0.06,1.99,0.146,0,16,16,16,13.4,0,0,0,0.1,0.23,0,2.1,11,53,21,1.28,0.79,0.101,8.3,90,199,0,0,0,0.038,0.027,0.016,0.036,0.043,0.135,0.552,0.202,0.02,0.616,0.004,0,0.515,0.058,0,0.002,0,0.001,0,67.06
Basbousa,53441210,5502,Cakes and pies,282,4.81,43.76,29.79,0.8,9.94,2.43,4.176,2.464,3,12,12,0,1,0,0,3,0.153,0.2,1.224,0.032,17,7,35,24,9,0.14,0,0.2,0.1,1.3,0,3.9,119,108,21,1.2,0.58,0.065,4.4,148,81,0,0,0,0.022,0.015,0.01,0.022,0.026,0.093,1.231,0.915,0.025,4.145,0.007,0,2.359,0.144,0,0,0,0,0,40.47
"Basil, raw",75109400,9999,Not included in a food category,23,3.15,2.65,0.3,1.6,0.64,0.041,0.088,0.389,0,0,264,0,3142,46,0,5650,0.034,0.076,0.902,0.155,0,68,68,68,11.4,0,0,18,0,0.8,0,414.8,177,56,64,3.17,0.81,0.385,0.3,295,4,0,0,0,0,0,0,0,0,0,0.036,0.005,0,0.088,0,0,0.073,0.316,0,0,0,0,0,92.06
Bean cake,41210000,3102,"Bean, pea, legume dishes",414,5.8,49.88,20.37,3,21.41,2.842,8.834,8.176,0,0,0,0,0,0,0,5,0.268,0.139,1.967,0.051,29,41,90,70,12,0,0,0.3,0,3.97,0,23.4,15,74,21,2.58,0.53,0.12,5.1,160,186,0,0,0,0,0,0,0,0,0.01,2.055,0.602,0.073,8.608,0.14,0,7.205,0.963,0,0.001,0,0,0,21.96
Bean chips,41310900,5004,"Tortilla, corn, other chips",448,14.6,53.12,1.08,9.7,21.58,2.964,5.876,11.317,0,0,1,0,9,0,0,21,0.499,0.153,2.653,0.362,0,243,243,243,51.9,0,0,1.7,0,4.97,0,3.1,36,255,96,4.01,2.54,0.513,8.3,547,410,0,0,0,0,0,0,0,0,0.01,2.472,0.339,0.022,5.768,0.077,0,11.01,0.315,0,0,0,0,0,7.64
"Bean paste, sweetened",91407150,8806,"Jams, syrups, toppings",226,6.22,49.98,33.92,5.3,0.47,0.052,0.028,0.197,0,0,0,0,0,0,0,0,0.115,0.048,0.415,0.086,0,93,93,93,21.9,0,0,0.9,0,0.02,0,6,21,102,32,2.13,0.77,0.176,1.1,290,124,0,0,0,0,0,0,0,0,0,0.046,0.006,0,0.028,0,0,0.077,0.121,0,0,0,0,0,42.21
"Bean sprouts, cooked",75207021,6420,Other vegetables and combinations,116,9.8,6.08,2.83,3.3,6.93,1.306,1.868,3.197,2,11,12,2,9,2,0,0,0.099,0.187,0.589,0.156,0,40,40,40,28,0,0,6.3,0,0.58,0,22.4,56,132,48,2.8,0.78,0.256,3.8,299,126,0,0,0,0.018,0.013,0.007,0.017,0.02,0.076,0.834,0.293,0.026,1.822,0.012,0,2.821,0.375,0,0.001,0,0,0,75.81
"Bean sprouts, raw",75101000,6420,Other vegetables and combinations,30,3.04,5.94,4.13,1.8,0.18,0.046,0.022,0.058,0,0,1,6,6,6,0,0,0.084,0.124,0.749,0.088,0,61,61,61,14.4,0,0,13.2,0,0.1,0,33,13,54,21,0.91,0.41,0.164,0.6,149,6,0,0,0,0,0,0,0,0,0,0.032,0.008,0,0.022,0,0,0.042,0.016,0,0,0,0,0,90.4
"Beans, NFS",41100990,2802,"Beans, peas, legumes",189,8.34,23.78,0.31,8.3,7.08,0.997,2.861,2.716,0,0,0,0,0,0,0,0,0.181,0.054,0.322,0.167,0,147,147,147,32.2,0,0,0.5,0,2.09,0,9.7,39,135,51,1.96,0.94,0.202,4.6,386,217,0,0,0,0,0,0,0,0,0.003,0.747,0.191,0.023,2.79,0.044,0,2.31,0.404,0,0,0,0,0,59.15
Bear,23323500,2008,"Lamb, goat, game",257,32.16,0,0,0,13.28,3.512,5.615,2.381,97,0,0,0,0,0,0,0,0.099,0.813,3.323,0.288,0,6,6,6,121.3,2.45,0,0,0,0.49,0,1.8,5,169,23,10.64,10.19,0.147,11.1,261,378,0,0,0,0,0,0,0,0,0.187,2.057,0.763,0.719,4.097,0.057,0,1.56,0.049,0,0.318,0,0.034,0.037,53.13
Beaver,23334100,2008,"Lamb, goat, game",210,34.57,0,0,0,6.9,2.054,1.875,1.339,116,0,0,0,0,0,0,0,0.05,0.308,2.183,0.466,0,11,11,11,128.9,8.23,0,3,0,0.45,0,1.6,22,290,29,9.92,2.25,0.188,42.8,400,366,0,0,0,0,0,0,0,0,0.179,1.558,0.317,0.238,1.597,0,0,1.062,0.278,0,0,0,0,0,57.46
Beef burgundy,27111200,3002,Meat mixed dishes,148,18.48,4.19,1.45,0.8,6,1.77,2.487,0.933,52,0,1,0,15,0,193,11,0.065,0.212,4.454,0.238,1,16,18,17,70.6,1.27,0,2,0.1,0.62,0,6.1,20,184,23,1.84,4.52,0.143,22.8,368,369,0,0,0,0,0,0,0,0.003,0.108,1.093,0.549,0.154,2.316,0.016,0,0.805,0.096,0,0.021,0.002,0.009,0.001,69.91
Beef curry,27116100,3002,Meat mixed dishes,113,7.57,6.53,2.56,1.4,6.57,1.794,2.574,1.809,20,2,47,143,469,1,4517,95,0.049,0.096,1.458,0.202,0,16,16,16,29.5,0.54,0,8.9,0,1.38,0,9,20,76,17,1.15,1.83,0.096,7.3,288,359,0,0,0,0.003,0.005,0.047,0.039,0.292,0.161,0.823,0.366,0.065,2.455,0.031,0,1.596,0.197,0,0.013,0.001,0,0,77.77
Beef egg foo yung,32105240,3404,Stir-fry and soy-based sauce mixtures,147,13.82,4.78,3.05,0.3,8.08,2.473,3.161,1.412,201,77,83,0,64,6,0,325,0.053,0.227,1.514,0.142,0,31,31,31,155,0.83,0,1.7,1.1,0.89,0,24,32,138,14,1.59,1.97,0.034,22,165,321,0,0,0,0,0,0,0.005,0.005,0.086,1.7,0.65,0.208,2.921,0.013,0,1.162,0.088,0,0.006,0.001,0.004,0,71.79
Beef jerky,21602100,2602,Cold cuts and cured meats,410,33.2,11,9,1.8,25.6,10.85,11.305,1.011,48,0,0,0,0,0,0,0,0.154,0.142,1.732,0.179,0,134,134,134,109.1,0.99,0,0,0.3,0.49,0,2.3,20,407,51,5.42,8.11,0.227,10.7,597,1785,0,0,0,0,0,0,0.015,0.162,0.819,5.72,3.897,1.135,10.099,0.071,0,0.81,0.185,0,0.016,0,0,0,23.36
Beef salad,27416250,3002,Meat mixed dishes,261,17.85,2.9,2.1,0.4,19.32,3.85,5.098,9.436,61,3,12,7,92,18,0,82,0.042,0.128,2.636,0.182,0,15,15,15,75.5,1.3,0,0.8,0.1,1,0,46.1,20,118,15,1.58,4.27,0.07,18.4,206,338,0,0,0,0,0,0,0.002,0.004,0.118,2.483,1.112,0.15,4.876,0.052,0.01,8.25,1.144,0,0.025,0.002,0.008,0.002,58.87
Beef sausage,25220105,2608,Sausages,341,13.3,3.37,1,0,28.7,11.3,12.7,1.91,61,18,18,0,0,0,0,0,0.054,0.132,2.43,0.15,0,7,7,7,38.3,1.13,0,19.2,0.1,0.33,0,2.8,35,124,20,1.55,2.14,0.075,11.6,263,866,0,0,0,0.004,0,0,0.002,0.018,0.784,6.66,3.47,1.16,12,0.112,0.016,1.79,0.096,0.001,0.046,0,0.009,0.002,51.7
"Beef, bacon, cooked",21601000,2604,Bacon,449,31.3,1.4,0,0,34.4,14.35,16.85,1.58,119,0,0,0,0,0,0,0,0.09,0.26,6.47,0.31,0,8,8,8,119.2,3.45,0,0,0.2,0.29,0,2.8,9,236,27,3.14,6.37,0.116,26.8,412,1500,0,0,0,0,0,0,0.13,0.1,1.22,7.66,4.48,2.27,14.58,0,0,1.25,0.33,0,0,0,0,0,26.2
"Beef, brisket",21417100,2002,"Beef, excludes ground",231,29.41,0,0,0,12.04,4.616,5.565,0.47,94,1,1,0,0,0,0,0,0.071,0.222,3.702,0.354,0,8,8,8,105.1,2.57,0,0,0.2,0.14,0,1.7,10,227,22,2.74,7,0.115,27.2,285,377,0,0,0,0,0,0,0.017,0.013,0.368,2.803,1.385,0.522,4.992,0.017,0,0.352,0.071,0,0.045,0.004,0.01,0.001,55.99
"Beef, corned",21416000,2602,Cold cuts and cured meats,251,18.17,0.47,0,0,18.98,6.34,9.22,0.67,98,0,0,0,0,0,0,0,0.026,0.17,3.03,0.23,0,6,6,6,69.2,1.63,0,0,0.1,0.16,0,1.5,8,125,12,1.86,4.58,0.154,32.8,145,973,0,0,0,0,0,0,0.04,0.02,0.5,3.69,1.74,1.44,7.78,0,0,0.54,0.13,0,0,0,0,0,59.79
"Beef, cow head",21305000,2002,"Beef, excludes ground",257,25.9,0,0,0,16.46,6.728,7.348,0.727,86,3,3,0,0,0,0,0,0.067,0.188,5.415,0.474,0,7,7,7,82.6,1.8,0,0,0.2,0.31,0,1.4,13,179,20,2.18,5.06,0.074,28.1,269,357,0,0,0,0,0,0,0.024,0.024,0.481,3.822,2.198,0.589,6.586,0.03,0,0.568,0.086,0,0.045,0.003,0.012,0.001,56.52
"Beef, ground",21500100,2004,Ground beef,261,25.55,0,0,0,16.82,6.455,7.5,0.495,87,3,3,0,0,0,0,0,0.047,0.175,5.072,0.364,0,10,10,10,80.3,2.7,0,0,0,0.12,0,1.7,24,192,20,2.47,6.2,0.08,21.3,302,381,0,0,0,0,0,0,0,0.012,0.481,3.607,1.998,0.611,6.441,0.054,0,0.381,0.056,0,0.047,0,0.002,0,56.34
"Beef, ground, patty",21500310,2004,Ground beef,272,25.45,0,0,0,18.18,6.95,8.194,0.514,87,3,3,0,0,0,0,0,0.048,0.175,4.919,0.356,0,10,10,10,79.4,2.75,0,0,0,0.12,0,1.9,27,190,20,2.41,6.17,0.077,21.3,294,383,0,0,0,0,0,0,0,0.013,0.526,3.901,2.103,0.669,6.993,0.06,0,0.4,0.057,0,0.048,0,0,0,55.2
"Beef, ground, raw",21500000,2004,Ground beef,213,18.44,0,0,0,14.88,5.67,6.418,0.43,67,4,4,0,0,0,0,0,0.042,0.15,4.612,0.343,0,6,6,6,60.7,2.15,0,0,0.1,0.17,0,1.3,15,170,18,2.07,4.44,0.066,15.7,293,373,0,0,0,0,0,0,0,0.011,0.428,3.175,1.81,0.53,5.705,0.049,0,0.328,0.054,0,0.034,0.002,0.012,0.001,65.14
"Beef, NFS",21000100,2002,"Beef, excludes ground",231,27.13,0,0,0,13.04,5.224,5.893,0.565,85,4,4,0,0,0,0,0,0.067,0.24,6.189,0.574,0,7,7,7,79.3,2.28,0,0,0.1,0.21,0,1.6,18,217,20,2.66,5.75,0.075,27.7,319,372,0,0,0,0,0,0,0.009,0.011,0.363,2.917,1.713,0.44,5.22,0.03,0,0.452,0.039,0,0.049,0.002,0.008,0.001,58.51
"Beef, steak, NFS",21101000,2002,"Beef, excludes ground",229,27,0,0,0,12.88,5.288,5.829,0.616,83,5,5,0,0,0,0,0,0.071,0.255,6.694,0.655,0,6,6,6,77.4,2.04,0,0,0.1,0.26,0,1.5,16,221,21,2.64,5.08,0.073,29,321,369,0,0,0,0,0,0,0.014,0.014,0.363,2.956,1.753,0.432,5.21,0.025,0,0.495,0.041,0,0.049,0.002,0.011,0.001,58.87
Beer,93101000,7502,Beer,43,0.46,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.025,0.513,0.046,0,6,6,6,10.1,0.02,0,0,0,0,0,0,4,14,6,0.02,0.01,0.005,0.6,27,4,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.96
"Beer, higher alcohol",93102300,7502,Beer,58,0.9,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,1.1,0.09,0,18,18,18,10.1,0.02,0,0,0,0,0,0,8,32,12,0.03,0.01,0.008,0.6,62,4,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
"Beer, nonalcoholic",92803000,7204,Fruit drinks,37,0.21,8.05,8.05,0,0.12,0.024,0.015,0.056,0,0,0,0,0,0,0,0,0.016,0.048,1.113,0.027,0,14,14,14,10.1,0.02,0,0.5,0,0,0,0,7,16,7,0.06,0.02,0.008,1.2,8,13,0,0,0.3,0,0,0,0,0,0.001,0.021,0.001,0,0.012,0,0,0.05,0.006,0,0,0,0,0,91.15
"Beet greens, cooked",72101220,6411,Other dark green vegetables,48,2.3,4.51,0.53,3.9,2.87,0.737,0.998,0.833,2,12,325,3,3757,0,0,1486,0.094,0.218,0.396,0.122,0,12,12,12,0.7,0,0,21.9,0,1.97,0,418.6,122,43,73,2.68,0.4,0.199,0.9,794,365,0,0,0,0.019,0.014,0.008,0.018,0.022,0.069,0.412,0.146,0.015,0.962,0.013,0,0.741,0.091,0,0.001,0,0,0,87.57
"Beet greens, raw",72101100,6411,Other dark green vegetables,22,2.2,4.33,0.5,3.7,0.13,0.02,0.026,0.046,0,0,316,3,3794,0,0,1503,0.1,0.22,0.4,0.106,0,15,15,15,0.4,0,0,30,0,1.5,0,400,117,41,70,2.57,0.38,0.191,0.9,762,226,0,0,0,0,0,0,0,0,0,0.02,0,0,0.026,0,0,0.041,0.004,0,0,0,0,0,91.02
Beet juice,73105000,7008,Vegetable juice,25,0.72,5.91,4.84,1.1,0.06,0.01,0.012,0.022,0,0,1,0,12,0,0,0,0.009,0.034,0.136,0.05,0,26,26,26,6.2,0,0,2.5,0,0.03,0,0.1,12,14,14,0.57,0.21,0.088,0.4,128,19,0,0,0,0,0,0,0,0,0,0.01,0,0,0.012,0,0,0.021,0.002,0,0,0,0,0,92.45
"Beets, pickled",75500210,8408,"Olives, pickles, pickled vegetables",65,0.8,16.28,11.05,0.8,0.08,0.013,0.016,0.029,0,0,2,0,29,0,0,0,0.01,0.048,0.251,0.05,0,27,27,27,15,0,0,2.3,0,0.06,0,0.3,11,17,15,0.41,0.26,0.116,1,115,149,0,0,0,0,0,0,0,0,0,0.013,0.001,0,0.016,0,0,0.027,0.002,0,0,0,0,0,81.88
"Beets, raw",75102500,6420,Other vegetables and combinations,43,1.61,9.56,6.76,2.8,0.17,0.027,0.032,0.06,0,0,2,0,20,0,0,0,0.031,0.04,0.334,0.067,0,109,109,109,6,0,0,4.9,0,0.04,0,0.2,16,40,23,0.8,0.35,0.075,0.7,325,78,0,0,0,0,0,0,0,0,0,0.026,0.001,0,0.032,0,0,0.055,0.005,0,0,0,0,0,87.58
Beignet,53520510,5506,"Doughnuts, sweet rolls, pastries",417,5.46,53.69,31.09,1.9,20.18,8.403,6.443,3.189,27,4,4,1,3,1,0,32,0.277,0.167,2.32,0.033,60,36,138,96,25.9,0.1,0,1.1,0.1,1.27,0,10.2,90,104,15,2.12,0.54,0.079,14,91,281,0,0,0,0,0,0.009,0.01,0.102,0.178,6.523,1.447,0.041,6.354,0.042,0.001,2.987,0.187,0,0.002,0,0,0.007,19.58
"Berries, frozen",63200110,6011,Blueberries and other berries,52,0.76,12.47,6.59,4.1,0.34,0.023,0.053,0.238,0,0,3,4,34,0,0,87,0.029,0.04,0.697,0.051,0,20,20,20,7.9,0,0,17.4,0,0.7,0,11.6,17,20,14,0.55,0.17,0.064,0.4,124,1,0,0,0,0,0,0,0,0,0,0.015,0.005,0,0.05,0.002,0,0.152,0.086,0,0,0,0,0,86.08
"Berries, NFS",63200100,6011,Blueberries and other berries,44,0.66,9.94,6.21,2,0.25,0.008,0.014,0.044,0,0,2,0,14,0,0,39,0.029,0.024,0.396,0.04,0,7,7,7,5.8,0,0,44.2,0,0.37,0,7.3,16,20,11,0.28,0.1,0.038,0.3,138,0,0,0,0,0,0,0,0,0,0,0.005,0.002,0.001,0.014,0,0,0.026,0.017,0,0,0,0,0,88.84
"Bibimbap, Korean",58150100,3202,Rice mixed dishes,76,5.5,8.11,1.52,1.1,2.44,0.49,0.898,0.781,10,1,113,243,1230,7,0,1537,0.073,0.114,1.758,0.207,10,27,44,37,18.7,0.26,0,10.5,0,0.52,0,95.4,25,68,28,0.93,0.92,0.076,5,244,435,0,0,0,0,0,0,0.002,0.001,0.016,0.303,0.15,0.022,0.864,0.004,0,0.728,0.042,0,0.006,0,0.001,0,82.2
Big Mac (McDonalds),27510389,3702,Burgers,261,11.94,21.53,3.26,1.4,14.1,5.045,5.088,3.826,36,22,27,1,59,2,0,50,0.184,0.201,3.63,0.17,18,9,40,27,31.5,1.27,0,0.3,0.1,0.06,0,16.4,127,136,25,1.4,2.16,0.131,25.9,182,485,0,0,0,0.086,0.029,0.02,0.049,0.059,0.404,2.781,1.43,0.286,4.664,0.049,0.02,3.303,0.454,0.049,0.02,0,0,0,50.54
"Biscuit, cheese",52104100,4402,"Biscuits, muffins, quick breads",374,8.7,38.78,3.52,2.2,20.43,12.543,2.982,2.097,12,48,48,0,0,0,0,0,0.399,0.317,3.347,0.058,48,30,111,77,2,0.06,0,0,0.1,0.5,0,4.3,134,472,16,2.5,0.82,0.076,13.7,126,946,0,0,0,0.069,0.082,0.365,0.352,3.011,1.253,4.263,2.994,0.061,2.953,0.021,0,1.906,0.197,0,0.009,0.001,0.002,0,28.75
"Biscuit, home recipe",52104010,4402,"Biscuits, muffins, quick breads",350,7.03,44.89,4.57,1.4,15.97,8.535,3.176,0.68,44,152,155,0,31,1,0,8,0.408,0.258,3.164,0.053,49,10,94,59,14.9,0.2,0,0,0.5,0.04,0,1.5,231,162,20,3.22,0.55,0.082,8.8,134,801,0,0,0,0.374,0.266,0.156,0.357,0.41,1.329,4.005,1.381,0.187,2.847,0.021,0.001,0.623,0.072,0.003,0.019,0.004,0.007,0,28.2
"Biscuit, NFS",52101000,4402,"Biscuits, muffins, quick breads",370,7.08,42.82,3.88,2.5,18.92,11.803,2.487,2.199,2,18,18,0,0,0,0,0,0.441,0.303,3.713,0.059,53,31,121,84,0.8,0,0,0,0,0.47,0,4.5,70,474,15,2.76,0.5,0.081,12.1,131,979,0,0,0,0.004,0.031,0.367,0.298,3.239,1.048,3.76,2.95,0.01,2.458,0.016,0,1.989,0.205,0,0.004,0,0,0,27.88
"Biscuit, wheat",52104040,4402,"Biscuits, muffins, quick breads",362,7.5,43.9,3.71,4.5,18.19,11.244,2.394,2.2,2,17,17,0,0,0,0,12,0.445,0.317,4.206,0.121,50,33,119,84,4.5,0,0,0,0,0.52,0,4.4,70,501,45,3.15,0.84,0.127,15.4,184,930,0,0,0,0.004,0.029,0.349,0.283,3.077,0.996,3.6,2.804,0.01,2.366,0.015,0,1.992,0.203,0,0.004,0,0,0,26.98
Black bean salad,41203030,3102,"Bean, pea, legume dishes",94,3.08,12.61,3.53,3.4,3.85,0.567,1.011,1.927,0,0,7,17,78,4,412,141,0.076,0.068,0.545,0.065,0,35,35,35,14.3,0,0,4.4,0,0.71,0,11.4,20,60,20,0.9,0.32,0.097,1,211,350,0,0,0,0,0,0.017,0.016,0,0.003,0.372,0.129,0.004,0.985,0.019,0.001,1.65,0.272,0,0.001,0,0,0,79.14
Black bean sauce,41205100,8412,"Dips, gravies, other sauces",168,6.28,17.36,9.26,2.6,8.45,1.263,1.824,4.797,0,0,0,0,0,0,0,0,0.078,0.099,1.224,0.091,0,44,44,44,17.3,0,0,0,0,1.19,0,15.5,27,118,54,1.26,0.72,0.074,0.6,307,5843,0,0,0,0,0,0,0,0,0.006,0.886,0.302,0.006,1.764,0.048,0,4.22,0.57,0,0,0,0,0,52.04
"Black beans, NFS",41101990,2802,"Beans, peas, legumes",181,8.23,22.04,0.3,8.1,7.01,0.999,2.801,2.713,0,0,0,0,0,0,0,0,0.215,0.052,0.446,0.061,0,132,132,132,30.3,0,0,0,0,2.04,0,9.6,25,130,65,1.96,1.04,0.194,1.1,330,217,0,0,0,0,0,0,0,0,0.003,0.745,0.195,0.023,2.73,0.044,0,2.329,0.382,0,0,0,0,0,61.1
Black Russian,93301240,7506,Liquor and cocktails,279,0.04,21.21,17.36,0,0.14,0.048,0.01,0.048,0,0,0,0,0,0,0,0,0.005,0.008,0.072,0.001,0,0,0,0,0.4,0,0,0,0,0,0,0,0,5,1,0.05,0.04,0.03,0.2,15,4,12,0,28.1,0,0,0,0,0,0,0.035,0.009,0,0.01,0,0,0.044,0.004,0,0,0,0,0,50.47
